testaa : SIGN UP ; timestamp : 11001101100001100001011100101100110011100
testaa : LOGIN ; timestamp : 11001101100001100001011100111101101000001
testaa : OPEN ELIGIBITY CHECK ; timestamp : 11001101100001100001011101000000001010010
testaa : OPEN COURSE RECOVERY ; timestamp : 11001101100001100001011101000010010010110
testaa : EDIT_OPEN ; timestamp : 11001101100001100001011101000110000000010
testaaz : EDIT UPDATE ; timestamp : 11001101100001100001011101011010110011110
testaaz : EDIT_OPEN ; timestamp : 11001101100001100001011101101000111100000
testaaz : EDIT UPDATE ; timestamp : 11001101100001100001011101101110110101011
testaaz : EDIT_OPEN ; timestamp : 11001101100001100001011101110100010000111
testaaz : OPE RESET PASSWORD ; timestamp : 11001101100001100001011101110111101110010
testaaz : CANCEL RESET PASSWORD ; timestamp : 11001101100001100001011110000111000100001
swannvrg : SIGN UP ; timestamp : 11001101100001101001111100101011101000110
swannvrg : LOGIN ; timestamp : 11001101100001101001111101000011011001010
swannvrg : EDIT_OPEN ; timestamp : 11001101100001101001111101001000111011000
swannvrg : LOGIN ; timestamp : 11001101100001101010001001001110001000001
swannvrg : EDIT_OPEN ; timestamp : 11001101100001101010001001010001001011011
swannvrg : LOGIN ; timestamp : 11001101100001101010010001011111110100000
swannvrg : EDIT_OPEN ; timestamp : 11001101100001101010010001100010100001000
swannvrg : SIGN UP ; timestamp : 11001101100001101010100101110100010001010
swannvrg : LOGIN ; timestamp : 11001101100001101010100110000101101000101
swannvrg : EDIT_OPEN ; timestamp : 11001101100001101010100110011011011101101
swannvrg : LOGIN ; timestamp : 11001101100001101010100111010100011111100
swannvrg : EDIT_OPEN ; timestamp : 11001101100001101010100111010111000110000
swannvrg : LOGIN ; timestamp : 11001101100001101010101100011001101110001
swannvrg : EDIT_OPEN ; timestamp : 11001101100001101010101100011100001001101
swannvrg : LOGIN ; timestamp : 11001101100001101010111010111101000011001
swannvrg : EDIT_OPEN ; timestamp : 11001101100001101010111010111111110110110
swannvrg : LOGIN ; timestamp : 11001101100001101011000001011100101010010
swannvrg : EDIT_OPEN ; timestamp : 11001101100001101011000001011111110101011
swannvrg : LOGIN ; timestamp : 11001101100001101011100010001001101101101
swannvrg : EDIT_OPEN ; timestamp : 11001101100001101011100010001100100001100
testaaz : LOGIN ; timestamp : 11001101100001101110000001101111011011010
testaaz : EDIT_OPEN ; timestamp : 11001101100001101110000010001101110101101
testaaz123 : EDIT UPDATE ; timestamp : 11001101100001101110000011001000101110101
testaaz123 : LOG OUT ; timestamp : 11001101100001101110000011010111011100000
swannvrg : LOGIN ; timestamp : 11001101100010000101001110101011011111111
swannvrg : EDIT_OPEN ; timestamp : 11001101100010000101001110110001011000010
swannvrg : EDIT UPDATE ; timestamp : 11001101100010000101001110110110011000011
swannvrg : OPEN COURSE RECOVERY ; timestamp : 11001101100010000101001110111000110010100
swannvrg : OPEN COURSE RECOVERY ; timestamp : 11001101100010000101001110111011101101000
swannvrg : OPEN COURSE RECOVERY ; timestamp : 11001101100010000101001110111100000100011
swannvrg : OPEN COURSE RECOVERY ; timestamp : 11001101100010000101001110111100011100111
swannvrg : LOG OUT ; timestamp : 11001101100010000101011011001101100000101
swannBV123 : SIGN UP ; timestamp : 11001101100010000101011101000000001110000
testaaz123 : LOGIN ; timestamp : 11001101100010001100000111101001001110110
testaaz123 : EDIT_OPEN ; timestamp : 11001101100010001100000111110011001111000
testaaz123 : EDIT UPDATE ; timestamp : 11001101100010001100000111111001111001100
testaaz123 : EDIT_OPEN ; timestamp : 11001101100010001100001001000010001000101
testaaz123 : EDIT UPDATE ; timestamp : 11001101100010001100001001010111111101010
testaaz123 : EDIT_OPEN ; timestamp : 11001101100010001100001001100011001111110
testaaz123 : EDIT UPDATE ; timestamp : 11001101100010001100001001101000001101111
testaaz123 : EDIT_OPEN ; timestamp : 11001101100010001100001001111110011111000
testaaz123 : EDIT UPDATE ; timestamp : 11001101100010001100001010000100010100100
testaaz123 : EDIT_OPEN ; timestamp : 11001101100010001100001010010011000010110
testaaz123 : EDIT UPDATE ; timestamp : 11001101100010001100001010011001001011101
testaaz123 : LOGIN ; timestamp : 11001101100010001101001001110110001111111
testaaz123 : OPEN EMAIL NOTIFICATION ; timestamp : 11001101100010001101001001111001101110010
testaaz123 : OPEN MAIL LOG CHECK ; timestamp : 11001101100010001101001001111010101100001
testaaz123 : EDIT_OPEN ; timestamp : 11001101100010001101001010000011100011110
testaaz123 : EDIT UPDATE ; timestamp : 11001101100010001101001010001001010010010
testaaz123 : OPEN COURSE RECOVERY ; timestamp : 11001101100010001101001010001100110110001
